Gene_name NCBI_gene_ID Gene_type
C14orf180 400258 protein_coding
WEE2 494551 protein_coding
BTNL2 56244 protein_coding
KBTBD11 9920 protein_coding
FAM189A1 23359 protein_coding
ARHGEF10 9639 protein_coding
FAM20C 56975 protein_coding
CEACAM7 1087 protein_coding
APBA2 321 protein_coding
NEU1 4758 protein_coding
MIF 4282 protein_coding
TRIM69 140691 protein_coding
DERL3 91319 protein_coding
LILRB3 11025 protein_coding
LILRB3 102725035 protein_coding
LILRB3 107987425 protein_coding
LILRB3 107987462 protein_coding
ATP23 91419 protein_coding
SLC2A11 66035 protein_coding
TBX22 50945 protein_coding
POMZP3 22932 protein_coding
 LINC01556 protein_coding
PSORS1C1 170679 protein_coding
SERPINF1 5176 protein_coding
HLA-B 3106 protein_coding
B2M 567 protein_coding
APOM 55937 protein_coding
SCARF1 8578 protein_coding
MICA 100507436 protein_coding
UPK3B 105375355 protein_coding
C4B_2 100293534 protein_coding
SPDYE16 285955 protein_coding
SPDYE16 102723555 protein_coding
PPP1R10 5514 protein_coding
 107987373 protein_coding
DTX2 113878 protein_coding
CTSO 1519 protein_coding
OCA2 4948 protein_coding
ASIC5 51802 protein_coding
TDO2 6999 protein_coding
TLCD2 727910 protein_coding
WDR81 124997 protein_coding
PTP4A3 11156 protein_coding
MAMDC2 256691 protein_coding
GPR20 2843 protein_coding
MAS1L 116511 protein_coding
IQSEC3 440073 protein_coding
OR2H2 7932 protein_coding
ATAT1 79969 protein_coding
NSMCE3 56160 protein_coding
LILRB5 10990 protein_coding
CES5A 221223 protein_coding
 100132285 protein_coding
LY6G5C 80741 protein_coding
TRPV5 56302 protein_coding
SLC43A2 124935 protein_coding
STK19 8859 protein_coding
CHRFAM7A 89832 protein_coding
HSPA1A 3303 protein_coding
HSPA1L 3305 protein_coding
GPSM3 63940 protein_coding
ARHGAP11B 89839 protein_coding
ARHGAP11A 9824 protein_coding
RPH3AL 9501 protein_coding
LSM2 57819 protein_coding
HLA-DOB 3112 protein_coding
LLCFC1 135927 protein_coding
ZBED9 114821 protein_coding
RPP21 79897 protein_coding
RPP21 202658 protein_coding
OR12D2 26529 protein_coding
OR5V1 81696 protein_coding
TRPV6 55503 protein_coding
PRRT1 80863 protein_coding
PRRT1 100507547 protein_coding
HLA-DRB3 3125 protein_coding
OR12D3 81797 protein_coding
GNL1 2794 protein_coding
TRPM1 4308 protein_coding
 LY6G6E protein_coding
RILP 83547 protein_coding
MRPS18B 28973 protein_coding
SPPL2C 162540 protein_coding
PRSS2 5645 protein_coding
WNT3 7473 protein_coding
WNT3 101929777 protein_coding
CES1 1066 protein_coding
PRSS1 5644 protein_coding
AZU1 566 protein_coding
DDT 1652 protein_coding
DDT 100037417 protein_coding
LRRC37A2 474170 protein_coding
ARHGAP27 201176 protein_coding
PRTN3 5657 protein_coding
PRPF8 10594 protein_coding
GSTT1 2952 protein_coding
OR6V1 346517 protein_coding
NCR3 259197 protein_coding
NRM 11270 protein_coding
MGAM2 93432 protein_coding
PLPPR3 79948 protein_coding
PSORS1C2 170680 protein_coding
MED16 10025 protein_coding
TRIM39 56658 protein_coding
MAPT 4137 protein_coding
GSTT2 2953 protein_coding
AGPAT1 10554 protein_coding
LENG8 114823 protein_coding
PRPF31 26121 protein_coding
OR9A2 135924 protein_coding
ELANE 1991 protein_coding
EPHB6 2051 protein_coding
CHCHD10 400916 protein_coding
PRH2 5555 protein_coding
CFD 1675 protein_coding
GSTT4 25774 protein_coding
